model,RMSE,MAE,MASE,sMAPE
ARIMAX,0.050842605418771725,0.04015189002215485,1.7712906138148266,6.81109184122667
Mamba,0.077625,0.062875,2.5328,10.1579
N-BEATS,0.08281266666666666,0.06674666666666666,,10.174539000000001
S-Mamba,0.08052500000000001,0.064975,2.742975,10.06555
SARIMA,0.07643026724234983,0.06068036052919422,2.4555176331657362,10.021432337358084
TimeGPT,0.05154566666666666,0.04001,,6.4298150000000005
