model,RMSE,MAE,MASE,sMAPE,MAPE
Bulb Onions (Yellow) — Mamba,0.1216,0.1065,2.9798,18.104,20.5465
Cabbage — Mamba,0.0921,0.0765,3.7249,10.8726,11.8217
Carrots — Mamba,0.1137,0.0967,5.3979,17.2046,19.5756
Lettuce — Mamba,0.0298,0.0231,1.0543,3.3448,3.2782
