commodity,model,RMSE,MAE,MASE,sMAPE,MAPE,AIC,BIC,train_rows,test_rows
Bulb Onions (Yellow),"SARIMA(1,1,1)(1,1,1,52)",0.1462582419461595,0.11283782608275819,3.1573501648179723,18.575249772903426,21.51326989907085,-818.0372753728477,-794.6874101018931,469,60
Cabbage,"SARIMA(1,1,1)(1,1,1,52)",0.04540902399208044,0.032801364592097114,1.5968525360260881,4.5971437146922565,4.797171743750749,-1383.8222541031741,-1360.4723888322196,469,60
Carrots,"SARIMA(1,1,1)(1,1,1,52)",0.071424002599518,0.06258459547828706,3.49513361610421,11.913291455001604,12.09959421398754,-1453.4890320131303,-1430.1391667421758,469,60
Lettuce,"SARIMA(1,1,1)(1,1,1,52)",0.042629800431641454,0.034497655963634785,1.572734215714676,5.00004440683505,5.100182966731955,-1317.6709258472688,-1294.3210605763143,469,60
